"database_name","data_size_gb","log_size_gb","data_free_space_gb","log_free_space_gb","data_free_percent","log_free_percent"
"WatchtowerMetrics","2440.00","1322.19","52.06","1276.41","2.13","96.54"
"DemoDatabase","2048.00","512.00","2043.19","504.62","99.77","98.56"
"GrowthLab","840.00","648.00","19.06","596.02","2.27","91.98"
"SalesDemo","136.00","328.00","6.50","313.23","4.78","95.50"
"tempdb","64.00","8.00","59.31","6.90","92.68","86.23"
"testlocal_001_CEF0557D","25.00","10.00","21.94","9.48","87.75","94.77"
"testlocal_001_116DEC2E","25.00","10.00","21.94","9.48","87.75","94.77"
"testlocal_002_272FF0A1","25.00","10.00","21.81","9.46","87.25","94.61"
"testlocal_003_C5673D29","25.00","10.00","21.94","9.48","87.75","94.77"
"testlocal_004_57393398","25.00","10.00","21.81","9.46","87.25","94.61"
"testlocal_005_1BDC6F19","25.00","10.00","21.94","9.48","87.75","94.77"
"testlocal_006_F96600D9","25.00","10.00","21.81","9.46","87.25","94.61"
"testlocal_007_E9E01E09","25.00","10.00","21.94","9.48","87.75","94.77"
"testlocal_008_39F018FE","25.00","10.00","21.94","9.48","87.75","94.77"
"msdb","17.13","14.69","0.19","13.23","1.09","90.11"
"RandomLab","8.00","72.00","3.06","62.63","38.28","86.98"
"model","8.00","8.00","5.25","6.08","65.63","75.98"
"testlocal_009_BD8222F9","8.00","8.00","4.94","7.53","61.72","94.14"
"master","4.63","2.00","0.44","0.86","9.46","42.97"
